Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004]
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.27362346890139,7.13216745078964,6.99873377022519,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.35390413957503,5.60873087646354,..,4.45782610229152,4.67991094417297,4.56858960891786,10.2066467144411,10.328166939117,7.3189545972436,7.45235394606923,6.93557229126392,7.93875427420939,8.36248661002826
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,97.9,95,97.1,98.2,97,99.6,99.6,..,..,..,97.5,99.1,98.4,98.9,98.7,94.8,99.4,99.4,99.1,99.1
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,25.6637910223591,25.3323186486328,26.4659610716203,30.6012215884466,33.1873915714789,34.4321395694616,40.4276279370297,38.1148083394719,39.2527511937712,..,35.5044239797124,34.4516920194227,37.2433637548649,62.4210861219528,50.6278207919725,21.961534168157,25.8325151090984,28.168600324333,34.940798126021,41.8949109861803
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,..,23987696389.6428,10418314339.1428,2166136829.76399,2148910000,1652010000,9725560000,6473150000,5537340000,5265250000,4124710000
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,16110,17710,19070,19120,19730,19400,19980,19600,20250,..,11460,11500,11090,9700,10770,17270,16420,14730,12250,11050
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,128.636134343815,138.468978509039,145.768791272145,152.809097635805,158.348927507512,142.466397473426,142.434809806539,145.330506257721,139.814600248501,..,10.5022425738787,17.5078146225488,17.9917787671695,17.3313517749173,20.4707912388765,115.170932556764,101.079671207247,79.6543836290654,56.6002038344751,34.8898475693579
Argentina,ARG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,2.6,1.1,0.9,0.8,0.8,0.7,..,0.6,0.4,..,4.8,5.7,9.4,14,7,2.6,2.9,3.3,3.9,5.4
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,30.3,25.7,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.3633651733398,98.82,99.2161636352539,99.5844116210938,99.8371276855469,99.9592437744141,99.9952087402344,100,..,..,94.7254638671875,95.0992050170898,95.5110634674458,95.7975082397461,96.1342086791992,97.9341278076172,97.5394134521484,97.1672210693359,96.8129959106445,96.4706802368164
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.91852507634947,10.1253981561002,6.00395169280579,-1.02642045443208,2.40532378079436,-2.51261532081396,2.73115982828946,-1.82254217028903,2.85446613725399,..,-3.3854570406327,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,4.05723310346406,9.00765087504757,8.04715150043027,8.85165992013435,9.02957330068155
Argentina,ARG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,..,..,..,0.611,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.2950770164873,2.20117483232352,2.28041060118694,2.25875200427579,2.28250934556895,2.22004842784952,2.37269674923708,2.4305798250667,2.76664592266362,..,3.06307992404014,3.12048409721287,3.50485125559406,3.94963544989475,2.88973156072483,2.34176520769526,2.20403724847831,2.72868148543917,2.88651894172911,3.06504769156548
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.1,99.1,99.1,..,99.3,99.7,99.7,..,..,..,99.3,99.3,99.3,99.3,99.3,99.1,99.2,99.3,99.4,99.3
Australia,AUS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,151.012279128051,154.042992352495,151.418032134396,150.157939101233,155.533074208247,164.710899500516,175.977102148284,182.772402132277,..,..,91.3831433852159,93.403105495705,92.3111001382019,99.2190327950866,103.820874770128,159.631476515448,146.602615504952,118.352639643387,113.444891690627,108.217423333046
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,28683266147.8801,35210733743.0829,65554890649.5348,57550426822.6138,53997299139.8889,63195482811.6136,45051418215.3716,39225714066.7271,42579724525.1796,..,3311038586.09037,14892978180.1828,10717133150.6924,14656321800.5386,8985246029.5004,45160024270.9395,44440090037.7723,30551100656.5983,-25093141435.1896,42907672820.3756
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,38820,37750,40210,41430,44650,45520,45270,45110,47160,..,24460,25560,26580,27930,28840,35880,34880,32950,31330,30420
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,102.120424820967,101.71760805032,105.823899937895,106.643418769443,107.728789015672,106.75337346624,108.279330925333,110.052090189742,112.688620927757,..,33.4762643478792,44.9075485120323,57.7729503330638,65.0571283229007,72.8386068681014,103.642999906337,101.495875429138,96.0453894178784,91.012837998186,82.6130218073814
Australia,AUS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,0.5,..,..,..,0.7,..,..,..,..,..,..,0.7,..,1,0.5,..,..,..,0.7
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,..,..,100,100,100,100,100,100,100,100,100,100
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.92272729288334,2.05294200395332,2.45110508268402,3.89194002647891,2.63948235705639,2.55833752286902,2.35113644074406,2.82731051096303,1.95757542160659,..,5.01806394269731,3.94318908229896,1.93310572881344,4.00302228370373,2.98574490463473,3.65776675972091,3.77732902959087,2.83423251220411,3.19031634041626,4.00110552014283
Australia,AUS,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,..,..,..,..,..,..,0.803,..,..,..,..,..,..,..,..,..,..,..
